iso,id_centro,nombre_centro,geocoded_lat,geocoded_lon,geocode_source,geocode_precision,arcgis_score,geocode_query,geocode_distance_km,target_type,original_lat,original_lon,geocoded_in_adm1,geocoded_in_adm2,geo_adm1_check,geo_adm2_check,original_in_adm1,original_in_adm2,orig_adm1_check,orig_adm2_check,acceptance
COL,315759002122,COLEGIO BASICO PESTALOZZI,5.7183144,-72.9309844,arcgis,uncertain,80.0,"CL SEXTA 8 96 BR OLAYA HERRERA, Sogamoso, Boyacá, Colombia",1.017682596578728,compare,5.724167,-72.938056,Boyacá,Sogamoso,MATCH,MATCH,Boyacá,Sogamoso,MATCH,MATCH,FLAG
COL,315759002378,FRIEDRICH FROBELCOUNTRY SCHOOL,5.7183144,-72.9309844,arcgis,uncertain,80.0,"VDA SAN JOSE DEL PORVENIR FINC ELPARAISO, Sogamoso, Boyacá, Colombia",0.0,compare,5.7183144,-72.9309844,Boyacá,Sogamoso,MATCH,MATCH,Boyacá,Sogamoso,MATCH,MATCH,FLAG
COL,315759002670,LICEO COOPERATIVO CAMPESTRE,5.70074001127,-72.923951872123,arcgis,street,97.44,"KR 4 1A 21 BR MONQUIRA, Sogamoso, Boyacá, Colombia",3.036617961183278,compare,5.724167,-72.938056,Boyacá,Sogamoso,MATCH,MATCH,Boyacá,Sogamoso,MATCH,MATCH,KEEP_ORIGINAL
COL,315759800053,COLEGIO ACUARELA CAMPESTRE,5.715670375865,-72.946799316895,arcgis,uncertain,82.22,"CL 31 CARRERA 25 BR SECTOR LAS ACACIAS PRADO NORTE, Sogamoso, Boyacá, Colombia",1.774319061310156,compare,5.7183144,-72.9309844,Boyacá,Tibasosa,MATCH,MISMATCH,Boyacá,Sogamoso,MATCH,MATCH,FLAG
COL,320001068282,INSTITUCION ALINA BOHORQUEZ,10.467273453468,-73.253043872888,arcgis,uncertain,85.11,"DG 18 BIS 30A 123 BR MANANTIAL, Valledupar, Cesar, Colombia",0.847169852199872,compare,10.4597,-73.2522,Cesar,Valledupar,MATCH,MATCH,Cesar,Valledupar,MATCH,MATCH,FLAG
COL,320001068461,GIMNASIO INFANTIL VALLEDUPAR,10.451057874079,-73.276811109266,arcgis,street,95.0,"KR 40 21 23 BR VILLA TAXI, Valledupar, Cesar, Colombia",2.8576151892255406,compare,10.4597,-73.2522,Cesar,Valledupar,MATCH,MATCH,Cesar,Valledupar,MATCH,MATCH,KEEP_ORIGINAL
COL,320001069076,COLEGIO PENIEL,10.4511158,-73.277225,arcgis,uncertain,86.67,"CL MANZANA N 3 BR URB VILLA TAXI, Valledupar, Cesar, Colombia",2.8981497572991173,compare,10.4597,-73.2522,Cesar,Valledupar,MATCH,MATCH,Cesar,Valledupar,MATCH,MATCH,FLAG
COL,320001069092,COLEGIO INCREART,10.58737,-73.1229,arcgis,uncertain,80.52,"KR MANZANA H CASA 9 BR MARIA CAMILIA SEC HUMEDAL, Valledupar, Cesar, Colombia",20.033743446870353,compare,10.4597,-73.2522,Cesar,Valledupar,MATCH,MATCH,Cesar,Valledupar,MATCH,MATCH,FLAG
COL,320001069165,COLEGIO CRISTIANO EL SEMBRADOR,10.463233732777,-73.269705220329,arcgis,street,95.7,"CL 16 24 A 24 BR VILLACORELCA, Valledupar, Cesar, Colombia",1.95405007336458,compare,10.4597,-73.2522,Cesar,Valledupar,MATCH,MATCH,Cesar,Valledupar,MATCH,MATCH,KEEP_ORIGINAL
COL,320001069220,COLEGIO UZIEL QUERIT,10.4631241,-73.279935,arcgis,uncertain,86.94,"CL MANZANA 182 14 BR DON ALBERTO, Valledupar, Cesar, Colombia",3.0565340357079607,compare,10.4597,-73.2522,Cesar,Valledupar,MATCH,MATCH,Cesar,Valledupar,MATCH,MATCH,FLAG
