iso,id_centro,gps_lat,gps_lon,geocoded_lat,geocoded_lon,distance_km,arcgis_score,query_precision,query,address_returned
BOL,21920005.0,-20.34169960022,-63.192588806152,-20.34229,-63.19309,0.08,80.72,street,"EST. TAQUIPERENDA, SEPTIMA SECCIÓN (BOYUIBE), Santa Cruz, Bolivia",Taquiperenda
BOL,40730098.0,-16.54319953918457,-68.23262023925781,-16.5265882,-68.1948052,4.43,80.0,street,"MANZANO 2 D Nro 377, CUARTA SECCIÓN (EL ALTO), La Paz, Bolivia",El Alto
BOL,61480015.0,-19.55030059814453,-65.88384246826172,-19.5525866,-65.8786648,0.6,85.14,street,"CAYARA, SEGUNDA SECCIÓN (YOCALLA), Potosi, Bolivia","Cayara, Yocalla"
BOL,60680022.0,-15.43373224660351,-68.56495571136429,-15.393170518443,-68.524310438144,6.27,80.0,street,"CAMILLAYA, TERCERA SECCIÓN (TACACOMA), La Paz, Bolivia",Tacacoma
BOL,81230203.0,-17.963899612427,-67.10031127929699,-17.9600579,-67.0932738,0.86,80.0,street,"GUILLERMO ALBORTA ENTRE REYNALDO VASQUEZ Y JACINTO RODRIGUEZ, CAPITAL (ORURO), Oruro, Bolivia",Oruro
BOL,81380093.0,-19.584996557442512,-65.08523023128498,-20.044991442452,-65.343842438607,57.86,85.49,street,"CARPA HUATA, PRIMERA SECCIÓN (PUNA), Potosi, Bolivia","Ruta 1, Puna"
BOL,80870037.0,-17.647699356079,-65.13634490966797,-17.6603641,-65.1316785,1.49,84.8,street,"RODEO GRANDE KM. 140, PRIMERA SECCIÓN (TOTORA), Cochabamba, Bolivia","Rodeo Grande, Totora"
BOL,80720129.0,-15.973417735067,-68.66211366653499,-16.0470656,-68.685343,8.56,80.0,street,"AVELINO SIÑANI, PRIMERA SECCIÓN (ACHACACHI), La Paz, Bolivia",Achacachi
BOL,50870015.0,-16.957000732422,-65.14558410644497,-16.997027419593,-65.12168258741,5.13,89.42,street,"SENDA B, CUARTA SECCIÓN (CHIMORÉ), Cochabamba, Bolivia","Ruta 4, Chimoré"
BOL,70680041.0,-15.464400291442873,-67.86627960205078,-16.74335,-67.67899,143.61,81.78,street,"NUEVA ESPERANZA, SEGUNDA SECCIÓN (GUANAY), La Paz, Bolivia",Nueva Esperanza
BOL,81160008.0,-19.286759877706626,-67.10668843984615,-19.1953427,-67.0617961,11.2,80.41,street,"CHIQUIRUYO, SEGUNDA SECCIÓN (PAMPA AULLAGAS), Oruro, Bolivia",Pampa Aullagas
BOL,80460005.0,-19.16279983520508,-64.67444610595703,-19.1552557,-64.6783399,0.93,86.68,street,"COILOLO, PRIMERA SECCIÓN (ZUDAÑEZ), Chuquisaca, Bolivia","Coilolo, Zudáñez"
BOL,80860028.0,-18.09749984741211,-65.50153350830078,-17.94185,-65.343525,24.06,80.0,street,"SINDICATO PANTI PAMPA, PRIMERA SECCIÓN (MIZQUE), Cochabamba, Bolivia",Mizque
BOL,60620030.0,-16.049600601196,-68.41989135742199,-16.3021178,-68.5305848,30.47,80.0,street,"CENTRO CHACHACOMANI, TERCERA SECCIÓN (BATALLAS), La Paz, Bolivia",Batallas
BOL,71980051.0,-17.753743240120052,-62.99425762891792,-17.7510785,-62.9976069,0.46,80.0,street,"CARRETERA AL BENI KM. 27, PRIMERA SECCIÓN (COTOCA), Santa Cruz, Bolivia",Cotoca
BOL,70420013.0,-20.07785459769501,-65.24205303192173,-20.07917,-65.24211,0.15,81.58,street,"CHAUPI COCHA, SEGUNDA SECCIÓN (SAN LUCAS), Chuquisaca, Bolivia",Chaupi Cocha
BOL,70710024.0,-17.1565907007226,-68.99275684356712,-17.0234216,-68.6057927,43.71,80.0,street,"ECIA. HUANCARAMA, SEGUNDA SECCIÓN (CAQUIAVIRI), La Paz, Bolivia",Caquiaviri
BOL,70450011.0,-19.145999908447,-64.39495086669899,-19.14615,-64.3951,0.02,81.4,street,"PUNA MAYU, SEGUNDA SECCIÓN (TOMINA), Chuquisaca, Bolivia",Puna Mayu
BOL,61880115.0,-16.9636924778707,-62.58896379431155,-16.9061633,-62.6170048,7.06,81.28,street,"SAN ANDRES, CUARTA SECCIÓN (SAN JULIÁN), Santa Cruz, Bolivia",San Julián
BOL,81390014.0,-22.104600906372,-66.419136047363,-21.9239637,-66.424066,20.09,88.92,street,"RIO MOJON, TERCERA SECCIÓN (SAN ANTONIO DE ESMORUCO), Potosi, Bolivia","Rio Mojon, San Antonio de Esmoruco"
BOL,70690009.0,-15.515425644007902,-68.80381178855924,-15.4598219,-68.8341237,6.98,80.0,street,"COMUNIDAD TARISQUIA, SEGUNDA SECCIÓN (AYATA), La Paz, Bolivia",Ayata
BOL,41920034.0,-19.501100540161133,-63.53169631958008,-19.50159,-63.53143,0.06,81.22,street,"LA HERRADURA, QUINTA SECCIÓN (GUTIÉRREZ), Santa Cruz, Bolivia",La Herradura
BOL,80450051.0,-19.26378212490386,-64.00324445962912,-19.03333,-64.21667,34.05,81.31,street,"SAN ISIDRO, PRIMERA SECCIÓN (PADILLA), Chuquisaca, Bolivia",San Isidro
BOL,70690019.0,-15.374600410461426,-68.80557250976562,-15.4598219,-68.8341237,9.96,80.0,street,"CMD. KARCATACANA, SEGUNDA SECCIÓN (AYATA), La Paz, Bolivia",Ayata
BOL,81340061.0,-21.95890045166,-65.485786437988,-21.9572021,-65.4839736,0.27,84.0,street,"CHOSCONTY, PRIMERA SECCIÓN (VILLAZÓN), Potosi, Bolivia","Choskonty, Villazón"
